차수,기존여부,살림살이,1차비용,2차비용
7차,7차 기존 응답자,보통이다,식비(식료품비),보험료
7차,7차 기존 응답자,조금 어려운 편이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,교육비,식비(식료품비)
7차,7차 신규 응답자,조금 어려운 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,교육비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,교육비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,보험료,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",식비(식료품비)
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,보험료
7차,7차 기존 응답자,조금 어려운 편이다,의료비,교통/통신비
7차,7차 기존 응답자,매우 어렵다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,매우 어렵다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,매우 어렵다,의료비,교통/통신비
7차,7차 신규 응답자,매우 어렵다,의료비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,조금 어려운 편이다,의료비,경조사비
7차,7차 기존 응답자,조금 어려운 편이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,교통/통신비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,여유가 있는 편이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,교육비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,의료비,없음
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,경조사비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 신규 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,의료비,경조사비
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,의료비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,의료비,보험료
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 신규 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,보험료,없음
7차,7차 기존 응답자,보통이다,보험료,없음
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,보통이다,보험료,없음
7차,7차 기존 응답자,조금 어려운 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",보험료
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,주택마련자금을 위한 저축,식비(식료품비)
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,주택마련자금을 위한 저축,보험료
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),없음
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),없음
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),없음
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,주택마련자금을 위한 저축,식비(식료품비)
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,보험료
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,매우 어렵다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,경조사비
7차,7차 기존 응답자,보통이다,교통/통신비,경조사비
7차,7차 기존 응답자,여유가 있는 편이다,교육비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,매우 여유가 있다,교통/통신비,보험료
7차,7차 기존 응답자,보통이다,교통/통신비,의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,조금 어려운 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교통/통신비,의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",교육비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",경조사비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,매우 어렵다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,여유가 있는 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,식비(식료품비)
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,경조사비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,의료비,없음
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,교육비
7차,7차 기존 응답자,보통이다,교통/통신비,의료비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,보험료
7차,7차 기존 응답자,보통이다,교통/통신비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,매우 어렵다,의료비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,경조사비,의료비
7차,7차 기존 응답자,매우 어렵다,경조사비,보험료
7차,7차 기존 응답자,매우 어렵다,경조사비,보험료
7차,7차 신규 응답자,매우 어렵다,경조사비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,교육비,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,없음,
7차,7차 기존 응답자,매우 어렵다,교통/통신비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,매우 어렵다,교통/통신비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,매우 어렵다,교통/통신비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,조금 어려운 편이다,없음,
7차,7차 기존 응답자,보통이다,의료비,경조사비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,매우 어렵다,의료비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,매우 어렵다,의료비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,의료비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교통/통신비
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,교통/통신비,경조사비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,경조사비
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,매우 어렵다,각종 빚(채무)의 원리금 상환,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,교육비,보험료
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,조금 어려운 편이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,보험료,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,의료비,경조사비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,매우 어렵다,의료비,식비(식료품비)
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,보험료,식비(식료품비)
7차,7차 기존 응답자,조금 어려운 편이다,없음,
7차,7차 기존 응답자,보통이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,보험료,식비(식료품비)
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,"주거비(관리비, 월세 등)",식비(식료품비)
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,매우 어렵다,식비(식료품비),없음
7차,7차 기존 응답자,매우 어렵다,식비(식료품비),없음
7차,7차 기존 응답자,보통이다,의료비,경조사비
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",없음
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,매우 어렵다,식비(식료품비),의료비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,조금 어려운 편이다,식비(식료품비),교육비
7차,7차 신규 응답자,조금 어려운 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",교육비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,교통/통신비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,식비(식료품비),의료비
7차,7차 기존 응답자,보통이다,식비(식료품비),의료비
7차,7차 기존 응답자,보통이다,식비(식료품비),의료비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 신규 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,매우 어렵다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,교육비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,여유가 있는 편이다,교육비,식비(식료품비)
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,경조사비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,조금 어려운 편이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,교육비,식비(식료품비)
7차,7차 기존 응답자,보통이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,매우 어렵다,식비(식료품비),"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,의료비,식비(식료품비)
7차,7차 기존 응답자,보통이다,교육비,교통/통신비
7차,7차 신규 응답자,보통이다,교육비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,여유가 있는 편이다,식비(식료품비),교육비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",없음
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",의료비
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,보험료,없음
7차,7차 신규 응답자,보통이다,보험료,없음
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,매우 어렵다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,보통이다,교육비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,보통이다,교통/통신비,보험료
7차,7차 기존 응답자,보통이다,보험료,경조사비
7차,7차 기존 응답자,조금 어려운 편이다,교육비,각종 빚(채무)의 원리금 상환
7차,7차 기존 응답자,여유가 있는 편이다,경조사비,교통/통신비
7차,7차 기존 응답자,보통이다,경조사비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,교육비
7차,7차 기존 응답자,조금 어려운 편이다,각종 빚(채무)의 원리금 상환,보험료
7차,7차 기존 응답자,여유가 있는 편이다,없음,
7차,7차 기존 응답자,보통이다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,없음
7차,7차 기존 응답자,보통이다,보험료,교통/통신비
7차,7차 신규 응답자,보통이다,보험료,교통/통신비
7차,7차 신규 응답자,보통이다,보험료,교통/통신비
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,식비(식료품비),교통/통신비
7차,7차 기존 응답자,보통이다,식비(식료품비),보험료
7차,7차 기존 응답자,보통이다,의료비,교통/통신비
7차,7차 기존 응답자,보통이다,경조사비,교통/통신비
7차,7차 기존 응답자,여유가 있는 편이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,매우 여유가 있다,없음,
7차,7차 기존 응답자,보통이다,각종 빚(채무)의 원리금 상환,의료비
7차,7차 기존 응답자,여유가 있는 편이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,여유가 있는 편이다,교육비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,매우 어렵다,"주거비(관리비, 월세 등)",교통/통신비
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,보통이다,의료비,"주거비(관리비, 월세 등)"
7차,7차 기존 응답자,보통이다,교육비,보험료
7차,7차 기존 응답자,여유가 있는 편이다,교육비,교통/통신비
7차,7차 신규 응답자,여유가 있는 편이다,교육비,교통/통신비
7차,7차 기존 응답자,보통이다,"주거비(관리비, 월세 등)",교통/통신비
